subid,presentation.time,subjective.test,objective.test
1,1000,1,0.532258065
2,1000,1,0.75
3,1000,1,0.46875
4,1000,0,0.625
5,1300,1,0.555555556
6,1300,1,0.857142857
7,1300,0,0.96875
8,1300,1,0.555555556
9,1000,1,0.841269841
10,1000,1,0.639344262
11,1000,1,0.9375
12,1000,1,0.53125
14,1300,1,0.453125
15,1300,1,0.65625
16,1300,1,0.525423729
17,1000,0,0.65625
18,1000,1,0.603174603
19,1000,0,0.515625
20,1000,1,0.491803279
21,1300,1,0.555555556
23,1300,1,0.546875
25,1000,1,0.619047619
26,1000,1,0.625
29,1300,1,0.59375
30,1300,0,0.765625
31,1300,0,0.796875
33,1000,1,0.515625
34,1000,1,0.453125
37,1300,1,0.777777778
38,1300,0,0.953125
40,1300,0,0.671875
41,1000,0,0.515625
42,1000,1,0.5
43,1000,1,0.59375
44,1000,1,0.578125
47,1300,1,0.5
48,1300,1,0.53125
49,1000,1,0.53968254
50,1000,0,0.71875
51,1000,1,0.546875
52,1000,1,0.603174603
55,1300,1,0.984375
58,1000,0,0.953125
59,1000,1,0.5
62,1300,0,0.8125
63,1300,1,0.5625
64,1300,0,0.578125
65,1000,1,0.5625
13,1300,1,0.73015873
22,1300,1,0.523809524
24,1300,0,0.578125
27,1000,1,0.492063492
28,1000,0,0.984126984
32,1300,0,0.875
35,1000,1,0.90625
36,1000,1,0.873015873
39,1300,1,0.442622951
45,1300,1,0.515625
46,1300,0,0.734375
53,1300,1,0.703125
54,1300,1,0.777777778
56,1300,1,0.515625
57,1000,0,0.578125
60,1000,1,0.564516129
61,1300,1,0.46875
