prime,prime.result,distance,target,operand,congruent,counterbalance,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63
3+1+4=,8,2,6,A,no,1,396,816,634,387,473,,537,494,677,665,600,,676,484,558,559,709,,742,719,763,505,,730,376,719,611,526,505,548,397,462,505
1+2+5=,8,2,6,A,no,1,569,805,516,419,569,,591,461,666,613,569,601,,494,430,698,526,602,687,483,708,547,559,,740,676,666,,752,720,473,494,386
2+1+7=,10,4,6,A,no,1,440,,580,590,494,644,516,558,613,,623,557,741,838,473,505,289,440,623,634,752,569,418,697,924,730,526,473,697,559,473,483,484
2+5+3=,10,4,6,A,no,1,418,816,505,472,461,548,344,580,580,602,644,655,881,,558,763,462,483,773,569,687,804,484,720,643,601,601,493,548,536,515,516,516
3+5+1=,9,2,7,A,no,1,688,580,645,482,483,611,558,494,558,537,612,687,591,473,494,516,494,944,666,494,655,600,558,613,612,688,816,677,429,537,451,548,515
1+3+5=,9,2,7,A,no,1,516,591,505,366,451,612,482,300,386,601,688,688,762,612,472,537,558,430,622,697,634,623,451,741,719,591,622,548,441,525,440,570,483
3+6+2=,11,4,7,A,no,1,537,632,601,461,525,580,569,666,677,526,,741,547,429,570,794,461,558,740,1159,623,612,451,677,913,612,623,333,452,580,515,580,473
2+8+1=,11,4,7,A,no,1,494,805,709,,312,623,569,591,591,613,580,634,612,462,805,804,461,558,677,988,752,580,483,859,817,709,752,720,,581,493,483,579
2+1+3=,6,-2,8,A,no,1,591,719,548,,569,579,634,709,731,677,462,665,644,516,,462,634,666,686,924,666,602,408,655,387,515,,634,612,536,548,472,643
2+3+1=,6,-2,8,A,no,1,708,698,623,580,450,795,709,568,698,514,656,698,612,591,548,848,,699,1096,709,665,558,569,666,763,634,,741,473,548,622,569,666
7+2+3=,12,4,8,A,no,1,612,697,612,558,398,602,602,547,623,601,677,677,761,611,655,720,559,731,924,688,643,,516,827,654,655,655,590,613,569,462,483,632
9+1+2=,12,4,8,A,no,1,601,644,559,804,473,666,763,730,601,559,741,666,687,548,547,450,622,,742,623,741,526,526,784,762,795,709,666,612,493,538,,483
2+4+1=,7,-2,9,A,no,1,741,,591,505,430,590,537,633,537,547,783,515,644,526,655,730,623,612,558,591,709,580,516,602,731,676,956,301,559,548,515,452,634
4+1+2=,7,-2,9,A,no,1,,720,570,,527,591,570,612,622,602,493,580,645,526,623,559,484,558,655,354,633,558,525,666,945,536,547,558,709,720,460,473,676
3+8+2=,13,4,9,A,no,1,580,644,537,602,,634,514,591,666,354,537,568,891,547,591,,516,633,622,623,676,720,473,,763,613,612,505,,623,515,462,504
8+3+2=,13,4,9,A,no,1,548,569,569,,495,601,,505,666,580,484,558,,515,613,538,515,,687,559,816,548,494,666,752,645,537,644,526,837,441,,505
3+2+1=,6,-4,10,A,no,1,494,591,569,526,418,525,580,644,580,827,,547,429,418,741,580,548,441,536,536,858,547,526,677,655,601,462,537,505,505,483,559,343
3+1+2=,6,-4,10,A,no,1,645,591,591,570,471,655,613,601,505,570,472,483,740,472,256,601,,762,569,688,719,590,570,805,484,751,505,450,473,494,473,548,697
8+1+3=,12,2,10,A,no,1,525,665,557,504,387,613,557,666,569,483,570,494,546,494,569,483,612,568,622,537,688,720,473,,,622,580,,484,559,408,494,548
4+3+5=,12,2,10,A,no,1,440,505,473,471,483,623,516,473,558,611,484,494,816,484,569,472,548,515,731,525,601,600,472,645,397,569,516,494,526,483,472,623,537
1+2+4=,7,-4,11,A,no,1,547,602,720,656,473,731,634,666,591,473,537,569,773,548,773,1107,332,665,677,580,666,644,568,,774,914,762,579,494,612,495,451,698
2+1+4=,7,-4,11,A,no,1,742,537,,665,536,645,731,666,687,559,731,634,494,676,793,987,580,602,1127,794,613,569,526,763,569,699,,290,514,837,558,440,
4+6+3=,13,2,11,A,no,1,527,622,503,580,450,741,741,645,602,568,580,548,613,591,612,569,,,720,623,688,602,527,1074,784,730,612,676,473,708,568,494,569
7+1+5=,13,2,11,A,no,1,548,601,579,548,527,891,580,666,602,505,859,538,256,611,783,741,580,623,,601,612,557,666,,741,655,602,633,516,590,408,547,676
2+1+5=,8,-4,12,A,no,1,462,591,557,,612,881,709,494,569,623,462,644,462,462,,,441,838,924,601,559,569,558,698,838,869,536,580,516,729,526,514,623
